product_a,product_b,together_count,support_pct,confidence_pct,lift
84923,DOT,98,0.47,100,29.24
15056bl,DOT,62,0.3,100,29.24
15056n,DOT,84,0.41,100,29.24
84997a,DOT,65,0.31,100,29.24
47566b,DOT,102,0.49,100,29.24
84509a,DOT,68,0.33,100,29.24
84970s,DOT,66,0.32,100,29.24
72349b,DOT,82,0.4,100,29.24
10133,22379,51,0.25,26.02,0
10133,84596F,53,0.26,27.04,0
10133,22378,55,0.27,28.06,0
10133,85099B,56,0.27,28.57,0
10133,85123A,51,0.25,26.02,0
10133,DOT,73,0.35,37.24,0
10133,21990,52,0.25,26.53,0
10133,84596B,61,0.29,31.12,0
10135,21990,51,0.25,29.14,0
10133,47566,53,0.26,27.04,0
10133,21993,62,0.3,31.63,0
10135,21992,55,0.27,31.43,0
10135,21993,55,0.27,31.43,0
10135,22077,53,0.26,30.29,0
10135,22197,61,0.29,34.86,0
10135,22457,61,0.29,34.86,0
10135,22666,52,0.25,29.71,0
10135,22961,58,0.28,33.14,0
10135,85123A,53,0.26,30.29,0
10135,DOT,68,0.33,38.86,0
15034,15036,60,0.29,43.48,0
15036,15039,71,0.34,13.71,0
10135,21935,56,0.27,32,0
15036,20712,88,0.42,16.99,0
10135,21790,56,0.27,32,0
10133,22961,52,0.25,26.53,0
15036,20707,61,0.29,11.78,0
15036,20713,75,0.36,14.48,0
15036,20717,58,0.28,11.2,0
15036,20718,69,0.33,13.32,0
15036,20719,118,0.57,22.78,0
15036,20723,96,0.46,18.53,0
15036,20724,131,0.63,25.29,0
15036,20725,133,0.64,25.68,0
15036,20726,94,0.45,18.15,0
15036,20727,111,0.54,21.43,0
15036,20728,75,0.36,14.48,0
15036,20733,90,0.43,17.37,0
15036,20914,79,0.38,15.25,0
15036,20963,53,0.26,10.23,0
15036,20971,52,0.25,10.04,0
15036,16237,85,0.41,16.41,0
