customerid,churn_score,risk_level,recency_days,frequency,monetary,avg_order_value,return_count,customer_age_months
16262,85,Critical - Priority Outreach,360,1,0,NULL,3,12
12605,85,Critical - Priority Outreach,364,1,0,NULL,3,12.1
14213,85,Critical - Priority Outreach,371,1,0,NULL,5,12.4
13958,85,Critical - Priority Outreach,371,1,0,NULL,5,12.4
14627,85,Critical - Priority Outreach,311,1,0,NULL,5,10.4
18256,85,Critical - Priority Outreach,354,1,0,NULL,4,11.8
16252,85,Critical - Priority Outreach,365,1,0,NULL,21,12.2
14081,80,Critical - Priority Outreach,266,4,921.62,6.144133333,3,12.3
16297,80,Critical - Priority Outreach,212,4,301.9,15.095,3,8.9
13659,80,Critical - Priority Outreach,196,3,1563,15.17475728,4,10.7
15823,80,Critical - Priority Outreach,336,2,15,15,16,12.4
16859,80,Critical - Priority Outreach,105,5,747.81,14.38096154,20,8.7
16897,80,Critical - Priority Outreach,298,3,289.78,7.831891892,7,10.4
13506,80,Critical - Priority Outreach,311,3,458.52,17.63538462,3,12.3
15881,80,Critical - Priority Outreach,311,8,501.39,17.28931034,3,12.1
16306,80,Critical - Priority Outreach,213,9,632.27,15.42121951,3,12.2
12501,80,Critical - Priority Outreach,314,2,2169.39,14.55966443,11,11.2
14350,80,Critical - Priority Outreach,270,2,282.93,15.71833333,3,9.1
17035,80,Critical - Priority Outreach,245,3,433.53,15.48321429,4,10.4
14048,80,Critical - Priority Outreach,276,2,409.93,4.822705882,3,10.1
17994,80,Critical - Priority Outreach,121,6,674.89,8.542911392,3,9.7
17900,80,Critical - Priority Outreach,164,4,112.2,18.7,5,6.3
14338,80,Critical - Priority Outreach,157,4,588.22,18.97483871,3,6.5
13370,80,Critical - Priority Outreach,365,2,754.87,19.35564103,5,12.4
13343,80,Critical - Priority Outreach,172,2,353.43,18.60157895,3,5.9
18168,80,Critical - Priority Outreach,175,9,1160.04,8.923384615,9,12.4
16403,80,Critical - Priority Outreach,301,2,177.5,17.75,5,10.4
15107,80,Critical - Priority Outreach,310,8,319.5,18.79411765,3,12.4
18176,80,Critical - Priority Outreach,353,2,476.35,15.87833333,3,11.9
15109,80,Critical - Priority Outreach,240,2,484.95,17.31964286,3,8.2
17337,80,Critical - Priority Outreach,150,7,1981.06,3.802418426,5,10.3
18183,80,Critical - Priority Outreach,217,6,632.07,17.08297297,7,9.1
15655,80,Critical - Priority Outreach,232,2,560.67,16.49029412,3,8.1
14740,80,Critical - Priority Outreach,190,4,1448.21,16.27202247,4,9.4
17406,80,Critical - Priority Outreach,329,5,2184.42,19.67945946,3,12.2
14323,80,Critical - Priority Outreach,114,4,605.06,16.80722222,5,7.9
16449,80,Critical - Priority Outreach,190,3,707.69,17.69225,3,9.3
14320,80,Critical - Priority Outreach,206,3,477.79,15.41258065,11,11.1
18260,80,Critical - Priority Outreach,172,8,2628.35,19.76203008,6,11.9
15700,80,Critical - Priority Outreach,171,3,696.68,8.100930233,3,5.7
15535,80,Critical - Priority Outreach,172,7,502.9,6.984722222,3,12.1
15146,80,Critical - Priority Outreach,164,3,1327.16,14.58417582,4,9.7
16499,80,Critical - Priority Outreach,359,5,365.45,19.23421053,3,12.1
12652,80,Critical - Priority Outreach,321,2,919.98,19.16625,3,11
17429,80,Critical - Priority Outreach,120,4,524.92,13.45948718,3,7.3
14620,80,Critical - Priority Outreach,203,3,412.78,15.87615385,4,9.4
13121,80,Critical - Priority Outreach,268,2,283.73,5.6746,3,8.9
17850,80,Critical - Priority Outreach,301,35,5391.21,18.15222222,12,12.4
14311,80,Critical - Priority Outreach,224,2,310.26,15.513,7,8.1
13085,80,Critical - Priority Outreach,157,3,416.08,18.91272727,7,9.8
13005,80,Critical - Priority Outreach,173,3,513.7,19.75769231,3,8.2
12982,80,Critical - Priority Outreach,239,2,390.54,13.94785714,6,8.1
16550,80,Critical - Priority Outreach,108,9,2298.97,9.159243028,10,12.2
14586,80,Critical - Priority Outreach,226,3,237.36,12.49263158,8,9.2
12947,80,Critical - Priority Outreach,143,11,1603.99,16.53597938,6,12.4
14245,80,Critical - Priority Outreach,175,5,1693.45,15.68009259,4,8.8
17646,80,Critical - Priority Outreach,218,4,1008.39,19.77235294,3,12.1
12797,80,Critical - Priority Outreach,359,3,254.03,19.54076923,4,12.2
18072,80,Critical - Priority Outreach,154,2,247.44,13.74666667,18,6.2
14625,80,Critical - Priority Outreach,184,5,899.63,16.97415094,4,12.4
12852,80,Critical - Priority Outreach,289,2,311.55,18.32647059,3,9.8
14231,80,Critical - Priority Outreach,178,5,925.71,18.5142,4,9.6
15596,80,Critical - Priority Outreach,100,9,1406.59,18.2674026,7,12.1
14573,80,Critical - Priority Outreach,179,13,1639.82,7.223876652,6,12.4
13715,80,Critical - Priority Outreach,280,8,1077.39,10.35951923,3,12.4
14149,80,Critical - Priority Outreach,212,3,446.62,15.95071429,12,7.3
16755,80,Critical - Priority Outreach,113,5,1475.43,8.942,6,10.5
15261,75,Critical - Priority Outreach,134,1,254.82,13.41157895,0,4.5
15256,75,Critical - Priority Outreach,148,1,98.45,16.40833333,0,4.9
15047,75,Critical - Priority Outreach,269,1,343.62,15.61909091,0,9
15052,75,Critical - Priority Outreach,318,1,207.73,7.418928571,0,10.6
15254,75,Critical - Priority Outreach,126,1,300.36,16.68666667,0,4.2
