customerid,lifetime_value,total_orders,customer_life_days,customer_percentile,revenue_contribution_pct,segment
14646,280206.02,77,353,0.02,3.15,Top 20% (Core Revenue)
18102,259657.3,62,366,0.05,6.07,Top 20% (Core Revenue)
17450,194390.79,55,359,0.07,8.26,Top 20% (Core Revenue)
16446,168472.5,3,204,0.09,10.16,Top 20% (Core Revenue)
14911,143711.17,248,372,0.12,11.77,Top 20% (Core Revenue)
12415,124914.53,26,313,0.14,13.18,Top 20% (Core Revenue)
14156,117210.08,66,362,0.16,14.5,Top 20% (Core Revenue)
17511,91062.38,46,370,0.18,15.52,Top 20% (Core Revenue)
16029,80850.84,76,335,0.21,16.43,Top 20% (Core Revenue)
12346,77183.6,2,0,0.23,17.3,Top 20% (Core Revenue)
16684,66653.56,31,353,0.25,18.05,Top 20% (Core Revenue)
14096,65164.79,34,97,0.28,18.79,Top 20% (Core Revenue)
13694,65039.62,60,369,0.3,19.52,Top 20% (Core Revenue)
15311,60632.75,118,373,0.32,20.2,Top 20% (Core Revenue)
13089,58762.08,118,366,0.35,20.86,Top 20% (Core Revenue)
17949,58510.48,52,370,0.37,21.52,Top 20% (Core Revenue)
15769,56252.72,29,363,0.39,22.15,Top 20% (Core Revenue)
15061,54534.14,55,368,0.41,22.77,Top 20% (Core Revenue)
14298,51527.3,45,357,0.44,23.35,Top 20% (Core Revenue)
14088,50491.81,14,312,0.46,23.91,Top 20% (Core Revenue)
15749,44534.3,4,97,0.48,24.41,Top 20% (Core Revenue)
12931,42055.96,20,336,0.51,24.89,Top 20% (Core Revenue)
17841,40519.84,169,371,0.53,25.34,Top 20% (Core Revenue)
15098,39916.5,5,0,0.55,25.79,Top 20% (Core Revenue)
13798,37153.85,63,370,0.58,26.21,Top 20% (Core Revenue)
16013,37130.6,54,367,0.6,26.63,Top 20% (Core Revenue)
16422,34684.4,75,351,0.62,27.02,Top 20% (Core Revenue)
15838,33643.08,21,360,0.65,27.4,Top 20% (Core Revenue)
12748,33053.19,224,372,0.67,27.77,Top 20% (Core Revenue)
17404,31906.82,18,356,0.69,28.13,Top 20% (Core Revenue)
17389,31833.68,43,338,0.71,28.49,Top 20% (Core Revenue)
13098,28882.44,41,316,0.74,28.81,Top 20% (Core Revenue)
14680,28754.11,23,346,0.76,29.14,Top 20% (Core Revenue)
13081,28337.38,21,369,0.78,29.45,Top 20% (Core Revenue)
13408,28117.04,81,371,0.81,29.77,Top 20% (Core Revenue)
17857,26879.04,25,362,0.83,30.07,Top 20% (Core Revenue)
16333,26626.8,22,302,0.85,30.37,Top 20% (Core Revenue)
13777,25977.16,41,372,0.88,30.66,Top 20% (Core Revenue)
12753,21429.39,11,358,0.9,30.91,Top 20% (Core Revenue)
12744,21279.29,10,266,0.92,31.15,Top 20% (Core Revenue)
16210,21086.3,18,372,0.95,31.38,Top 20% (Core Revenue)
17675,20374.28,41,366,0.97,31.61,Top 20% (Core Revenue)
17381,20275.61,30,363,0.99,31.84,Top 20% (Core Revenue)
12471,19788.65,49,370,1.01,32.06,Top 20% (Core Revenue)
15039,19766.59,52,359,1.04,32.28,Top 20% (Core Revenue)
12731,18895.91,14,341,1.06,32.5,Top 20% (Core Revenue)
15159,18641.01,34,359,1.08,32.71,Top 20% (Core Revenue)
12901,17654.54,36,261,1.11,32.91,Top 20% (Core Revenue)
12678,17628.46,13,311,1.13,33.1,Top 20% (Core Revenue)
14031,17286.86,23,365,1.15,33.3,Top 20% (Core Revenue)
17428,17256.85,33,368,1.18,33.49,Top 20% (Core Revenue)
13767,17220.36,52,371,1.2,33.69,Top 20% (Core Revenue)
