cohort_month,month_offset,active_customers,initial_size,retention_rate_pct,cohort_revenue,revenue_per_active_customer
2010-12,1,885,885,100,570422.73,644.55
2010-12,2,324,885,36.61,275734.47,851.03
2010-12,3,286,885,32.32,233390.47,816.05
2010-12,4,340,885,38.42,302367.44,889.32
2010-12,5,321,885,36.27,204034.38,635.62
2010-12,6,352,885,39.77,336113.69,954.87
2010-12,7,321,885,36.27,313668.16,977.16
2010-12,8,309,885,34.92,310304.03,1004.22
2010-12,9,313,885,35.37,331001.07,1057.51
2010-12,10,350,885,39.55,471792.13,1347.98
2010-12,11,331,885,37.4,455478.9,1376.07
2010-12,12,445,885,50.28,512341.08,1151.33
2011-01,1,417,417,100,292366.84,701.12
2011-01,2,92,417,22.06,54993.86,597.76
2011-01,3,111,417,26.62,63157.01,568.98
2011-01,4,96,417,23.02,71526.09,745.06
2011-01,5,134,417,32.13,80989.77,604.4
2011-01,6,120,417,28.78,84464.57,703.87
2011-01,7,103,417,24.7,70073.35,680.32
2011-01,8,101,417,24.22,72503.42,717.86
2011-01,9,125,417,29.98,71870.48,574.96
2011-01,10,136,417,32.61,111370.7,818.9
2011-01,11,152,417,36.45,123252.86,810.87
2011-01,12,49,417,11.75,26388.03,538.53
2011-02,1,380,380,100,157700.59,415
2011-02,2,71,380,18.68,28937.64,407.57
2011-02,3,71,380,18.68,40964.47,576.96
2011-02,4,108,380,28.42,48155.39,445.88
2011-02,5,103,380,27.11,40089.17,389.22
2011-02,6,94,380,24.74,34155.67,363.36
2011-02,7,96,380,25.26,49673.71,517.43
2011-02,8,106,380,27.89,62292.8,587.67
2011-02,9,94,380,24.74,55241.34,587.67
2011-02,10,116,380,30.53,64688.86,557.66
2011-02,11,26,380,6.84,10600.22,407.7
2011-03,1,452,452,100,199619.67,441.64
2011-03,2,68,452,15.04,30040.34,441.77
2011-03,3,114,452,25.22,58958.41,517.18
2011-03,4,90,452,19.91,42739.08,474.88
2011-03,5,101,452,22.35,51392.44,508.84
2011-03,6,76,452,16.81,39962.33,525.82
2011-03,7,121,452,26.77,64824.15,535.74
2011-03,8,104,452,23.01,70523.62,678.11
2011-03,9,126,452,27.88,70847.62,562.28
2011-03,10,39,452,8.63,12761.1,327.21
2011-04,1,300,300,100,121809.05,406.03
2011-04,2,64,300,21.33,29398.59,459.35
2011-04,3,61,300,20.33,25028.57,410.3
2011-04,4,63,300,21,24282.79,385.44
2011-04,5,59,300,19.67,26253.16,444.97
2011-04,6,68,300,22.67,30103.24,442.69
2011-04,7,65,300,21.67,28505.9,438.55
2011-04,8,78,300,26,34009.61,436.02
2011-04,9,22,300,7.33,6332,287.82
2011-05,1,284,284,100,123739.3,435.7
2011-05,2,54,284,19.01,18641.7,345.22
2011-05,3,49,284,17.25,20155.73,411.34
2011-05,4,49,284,17.25,19162.17,391.06
2011-05,5,59,284,20.77,27752.62,470.38
2011-05,6,66,284,23.24,32875.34,498.11
2011-05,7,75,284,26.41,33168.34,442.24
2011-05,8,27,284,9.51,179184.23,6636.45
2011-06,1,242,242,100,135414.8,559.57
2011-06,2,42,242,17.36,14738.49,350.92
2011-06,3,38,242,15.7,14104.37,371.17
2011-06,4,64,242,26.45,30898.56,482.79
2011-06,5,56,242,23.14,26669.9,476.25
2011-06,6,81,242,33.47,42531.09,525.08
2011-06,7,23,242,9.5,8143.22,354.05
2011-07,1,188,188,100,73860.4,392.87
2011-07,2,34,188,18.09,11789.67,346.76
2011-07,3,39,188,20.74,15488.37,397.14
2011-07,4,42,188,22.34,17391.93,414.09
2011-07,5,51,188,27.13,19156.82,375.62
2011-07,6,21,188,11.17,6040.7,287.65
2011-08,1,169,169,100,79601.14,471.01
2011-08,2,35,169,20.71,20933.76,598.11
2011-08,3,42,169,24.85,35458.48,844.25
2011-08,4,41,169,24.26,44487.65,1085.06
2011-08,5,21,169,12.43,15284.36,727.83
2011-09,1,299,299,100,154734.09,517.51
2011-09,2,70,299,23.41,28701.15,410.02
2011-09,3,90,299,30.1,36898.95,409.99
2011-09,4,34,299,11.37,12299.53,361.75
2011-10,1,358,358,100,173425.19,484.43
2011-10,2,86,358,24.02,39691.4,461.53
2011-10,3,41,358,11.45,12567.28,306.52
2011-11,1,324,324,100,135131.33,417.07
2011-11,2,36,324,11.11,15223.34,422.87
2011-12,1,41,41,100,27005.46,658.67
