date,revenue,returns_value,return_rate_pct,orders,active_customers,aov,guest_customers,registered_customers,guest_vs_registered_pct,revenue_k,weekly_moving_avg
12/9/2011,184329.66,168789.07,91.57,41,35,4495.85,0,38,0,184.33,67540.72
12/8/2011,50395.96,1077.22,2.14,113,105,445.98,0,120,0,50.4,47551.54
12/7/2011,69230.6,362.94,0.52,104,94,665.68,0,101,0,69.23,46265.94
12/6/2011,45989.66,2449.44,5.33,110,103,418.09,0,128,0,45.99,43324.51
12/5/2011,58081.09,1567.68,2.7,116,105,500.7,0,114,0,58.08,44130.59
12/4/2011,20232,55.65,0.28,62,58,326.32,0,58,0,20.23,38257.47
12/2/2011,44526.1,578.01,1.3,114,95,390.58,0,100,0,44.53,39158.95
12/1/2011,44405.37,771,1.74,118,111,376.32,0,149,0,44.41,38278.03
11/30/2011,41396.79,960.38,2.32,99,92,418.15,0,122,0,41.4,42180.51
11/29/2011,48640.57,376.73,0.77,126,109,386.04,0,116,0,48.64,43329.34
11/28/2011,51632.21,1723.17,3.34,114,97,452.91,0,102,0,51.63,42838.11
11/27/2011,16969.25,39.58,0.23,56,51,303.02,0,51,0,16.97,39696.71
11/25/2011,26542.33,380.01,1.43,74,70,358.68,0,71,0,26.54,42502
11/24/2011,38359.69,2898.35,7.56,109,98,351.92,0,104,0,38.36,46665.02
11/23/2011,71722.75,1623.48,2.26,130,107,551.71,0,114,0,71.72,48064.22
11/22/2011,49438.55,574.46,1.16,130,120,380.3,0,129,0,49.44,44608.9
11/21/2011,45202.01,1215.22,2.69,96,85,470.85,0,96,0,45.2,45917
11/20/2011,29642.39,156.56,0.53,98,91,302.47,0,91,0,29.64,43519
11/18/2011,36606.25,962.21,2.63,103,98,355.4,0,129,0,36.61,44560.38
11/17/2011,55683.49,773.41,1.39,136,125,409.44,0,131,0,55.68,49384.21
11/16/2011,48154.12,1549.47,3.22,124,111,388.34,0,119,0,48.15,50178.22
11/15/2011,47535.51,213.06,0.45,104,93,457.07,0,98,0,47.54,48749.33
11/14/2011,58595.22,1952.68,3.33,104,93,563.42,0,109,0,58.6,46044.65
11/13/2011,28416.01,536.5,1.89,83,75,342.36,0,75,0,28.42,43746.56
11/11/2011,36932.07,421.66,1.14,93,87,397.12,0,91,0,36.93,47646.63
11/10/2011,70373.03,2052.02,2.92,125,112,562.98,0,139,0,70.37,51018.63
11/9/2011,61241.58,3528.14,5.76,118,101,519,0,102,0,61.24,46470.54
11/8/2011,38151.91,1019.41,2.67,99,95,385.37,0,122,0,38.15,41874.54
11/7/2011,28602.73,1717.33,6,90,81,317.81,0,90,0,28.6,41139.54
11/6/2011,42508.59,33.94,0.08,101,88,420.88,0,88,0,42.51,41967.42
11/4/2011,55716.47,2892.65,5.19,87,73,640.42,0,105,0,55.72,41208.28
11/3/2011,60536.09,727.24,1.2,100,86,605.36,0,95,0,60.54,41212.67
11/2/2011,38536.44,649.28,1.68,83,79,464.29,0,87,0,38.54,37436.85
11/1/2011,29069.56,413.6,1.42,76,74,382.49,0,88,0,29.07,37090.77
10/31/2011,33006.87,766.09,2.32,63,61,523.92,0,64,0,33.01,38494.82
10/30/2011,34397.95,25.95,0.08,96,88,358.31,0,88,0,34.4,35516.2
10/28/2011,37194.58,1002.08,2.69,65,60,572.22,0,67,0,37.19,39225.64
10/27/2011,55747.2,9811.57,17.6,104,91,536.03,0,113,0,55.75,42613.6
10/26/2011,34105.36,217.35,0.64,92,77,370.71,0,83,0,34.11,39967.98
10/25/2011,36113.86,507.15,1.4,72,65,501.58,0,69,0,36.11,40416.95
10/24/2011,38897.89,7145.41,18.37,73,61,532.85,0,84,0,38.9,41953.35
10/23/2011,12156.57,36.75,0.3,42,39,289.44,0,40,0,12.16,39506.22
10/21/2011,60364.01,252.63,0.42,62,56,973.61,0,59,0,60.36,42351.22
10/20/2011,60910.3,329.76,0.54,86,76,708.26,0,89,0,60.91,38420.69
10/19/2011,37227.88,6555.08,17.61,77,71,483.48,0,87,0,37.23,33669.96
10/18/2011,37248.16,694.32,1.86,77,73,483.74,0,79,0,37.25,34980.42
10/17/2011,46868.65,4844.93,10.34,85,76,551.4,0,87,0,46.87,35796.8
10/16/2011,21767.94,405.52,1.86,35,32,621.94,0,32,0,21.77,30846.35
10/14/2011,32071.62,808.24,2.52,70,61,458.17,0,63,0,32.07,34749.43
10/13/2011,32850.25,379.01,1.15,74,67,443.92,0,79,0,32.85,38776.13
10/12/2011,27655.2,2856.43,10.33,82,73,337.26,0,78,0,27.66,44651.17
10/11/2011,46401.14,11881.87,25.61,78,69,594.89,0,78,0,46.4,46205.02
10/10/2011,42962.8,2239.15,5.21,90,83,477.36,0,95,0,42.96,48453.86
10/9/2011,12215.51,602.16,4.93,38,35,321.46,0,35,0,12.22,43956.32
10/7/2011,49089.47,308.66,0.63,85,74,577.52,0,80,0,49.09,47928.88
10/6/2011,60258.53,7584.91,12.59,116,98,519.47,0,154,0,60.26,47297.71
10/5/2011,73975.57,349.2,0.47,94,82,786.97,0,82,0,73.98,44261.05
10/4/2011,38532.09,558.86,1.45,74,65,520.7,0,74,0,38.53,37866.3
10/3/2011,62143.07,2162.04,3.48,65,48,956.05,0,53,0,62.14,36542.5
10/2/2011,11479.98,10.95,0.1,34,32,337.65,0,32,0,11.48,32117.03
9/30/2011,40023.44,364.21,0.91,70,60,571.76,0,70,0,40.02,35013.28
9/29/2011,44671.27,2937.12,6.57,103,93,433.7,0,97,0,44.67,37543.5
9/28/2011,39001.91,366.02,0.94,80,72,487.52,0,93,0,39,36657.91
9/27/2011,29212.32,533.35,1.83,76,68,384.37,0,84,0,29.21,45854.45
9/26/2011,29265.51,666.3,2.28,65,62,450.24,0,66,0,29.27,48336.72
9/25/2011,31164.78,161.74,0.52,75,74,415.53,0,74,0,31.16,46390.15
9/23/2011,31753.75,1175.27,3.7,58,56,547.48,0,71,0,31.75,45258.76
9/22/2011,57734.98,2274.96,3.94,111,94,520.13,0,111,0,57.73,50997.75
9/21/2011,38472.1,5616.61,14.6,67,65,574.21,0,84,0,38.47,45894.72
